Set_Size,Function,Average_Time_ms,Average_Memory_KB
1,scheduleFit,0.179489,1.88235
2,scheduleFit,0.179072,0
3,scheduleFit,0.182041,0
4,scheduleFit,0.184258,0.0137339
5,scheduleFit,0.185215,0
6,scheduleFit,0.185266,0
7,scheduleFit,0.184455,0
8,scheduleFit,0.183573,0
9,scheduleFit,0.182397,0
10,scheduleFit,0.181226,0
1,scheduleMov,1.18781,0
2,scheduleMov,1.14316,0
3,scheduleMov,1.08597,0
4,scheduleMov,1.02916,0
5,scheduleMov,0.964026,0
6,scheduleMov,0.892382,0
7,scheduleMov,0.825361,0
8,scheduleMov,0.760319,0
9,scheduleMov,0.695697,0
10,scheduleMov,0.621248,0
